,body
2087,It is vry nice nd helpful. Vry much fun. Listening voice correctly. Vry useful. Absoutly worth is. Should buy.
2088,Best in class.. Go for it
2089,Integrates well with multiple devices. Speakers are awesome.
2090,All good
2091,"For just 2k, cant ask more 😊. Great choise to get rid of boring moments"
2092,Very good
2093,It's nice product but sometimes it does not recognise our voice
2094,"It is amazing ,loved its quality and sound experience , thankyou amazon"
2095,I found Alexa helpful but it does need some upgrades when it comes to knowing the song names specially Bollywood song names :p
2096,Needs more skills and integrationsNeeds more smartness
2097,It should have an in-build battery also...otherwise awesome product!
2098,I like this alexa  tooo good don't think just buy amazing product love it .❤💕💖💗
2099,Excellent product
2100,Must have product but it's a bit lagging in sound quality
2101,"Sometimes, Alexa did not respond when volume is high. Alexa did not understand the songs to be played while straming."
2102,"Can't play YouTube.That is biggest flaw.Otherwise,OK product."
2103,"The media could not be loaded.
                



 Over all its satisfactory ."
2104,Amazon thinks customers are fools.No proper customer service.
2105,- Installation very easy- Voice recognition is very good
2106,Alexa integration would have been with more than one device. Same with bluetooth.
2107,Very good
2108,It is best
2109,Overall good
2110,Very good product
2111,Good.
2112,Little slow
2113,"The media could not be loaded.
                



 If you’re lonely and bored by Alexa its perfect👏🏻"
2114,Very good product.nice sound and working fine with wipro smart bulb
2115,It is good but if it has chargeable option it may useful to carry anywhere also
2116,Good
2117,Time pass ke liye sahi full enjoy
2118,Super assume
2119,"The media could not be loaded.
                



 Bass is too good for a small room..Skills are also powerful..voice recognition is standard..all is on video.."
2120,"purchased eco dot and realy feel proud very good product Sound is very good , look solid,  good voice recognition and value for money"
2121,Microphone is not up to the mark . Decide can recognize the voice if the volume is on higher side . need to speak loud infront of mic if the volume is on higher side.
2122,Outstanding product. Perfect for home use.
2123,Super Smart sound quality 👌
2124,Awesome
2125,never expected this much sound from this device. It's simply amazing.
2126,Good gadget for smart home. if you have many smart devices it will be good for you
2127,Love this experience
2128,Worth to buy
2129,"Getting error "" Sorry I am having trouble understanding right now"" after switch on off and wifi modem and router getting same thing"
2130,Very good product..must buy for smart homes experience... thank
2131,Very good product . Just need to add some marathi popular news channel like Abp maza .
2132,Really awesome product by Amazon..It need some updates..but other then this it is so awesome..Sound is good.And mic is also awesome.
2133,Good
2134,OK ok.. Liking it
2135,It was incredible product and sound quality is faboulous and base quality is vest. Alexa is my favourite product at that time.
2136,The microphone of Alexa is not at all responsive. We literally have to shout to command Alexa when the volumn level is above 6.
2137,Ok
2138,Sound quality is awesome works fine must buy
2139,It didn't support Hindi language and I have purchased it only the reason as they mentioned Alexa also supports Hindi language.Now this product didn't useful to me.
2140,Good in all aspects as mentioned
2141,"Very much satisfied at this price range, awesome product"
2142,Nice
2143,Liking this product's sound. Quality wise so good .it is so cute🥰🥰. Packaging is so poor that it is packaged in a paper bag .
2144,Superb
2145,Alexa is the best undoubtedly
2146,Simply Best. Voice recognition is best. Sound quality is superb.
2147,👌👌👌👌👌
2148,first no dislikes in a affordable price best and just setup is little difficult.
2149,Happy with the purchase. Amazing sound quality.
2150,Not very happy just ok
2151,बहुत ही अच्छी चीज है इलेक्शन एलेक्सा स्कूल कुछ भी बोलते हैं वह फटाफट जवाब दे दीजिए
2152,Amazing and really smart product !! Good sound quality as well
2153,Very good quality
2154,Working well. Good useful fun product
2155,Everytime i hav to connect through wifi with setup mode
2156,Very good
2157,Overpriced not worth the money.
2158,IT IS AWESOME PRODUCT EASY TO HANDLE AND VERY GOOD QUALITY SOUND
2159,na
2160,Just loving it!
2161,THE PRODUCT WAS GOOD. EASY TO CARRY. BEST OPTION FOR DIWALI GIFTING AS EASY TO CARRY AND TRANSPORTATION.
2162,I like this product 👌👌👌
2163,I love everything
2164,Perfect Item
2165,"It is not too bad to purchase , i think it needs more updates."
2166,The media could not be loaded.
2167,Very poor quality. Wastage of money.
2168,"Good product with easy Alexa integration, sound quality is nice no extra speakers required if you are a mild user."
2169,Sound quality very goo and so nice in such low budget. Beautiful gift for kids...
2170,Best Ai speaker in this market
2171,Nor in par with Google home in recognition of questions and user friendly.
2172,Just Love It...
2173,It's an amazing product.  Very convenient and must own device if you want to lead smart hassle free life.  Strongly recommend.  Thank you Amazon!!!!
2174,"The bulb received is a used one. I bought this on great Indian festival Oct 2020.Echo dot looks fine though, yet to use."
2175,Best buy! Alexa is the best!
2176,Listen to songs and talks of intellect available with that of AMAZON bhandar.
2177,After warranty period.. my alexa stopped working. very poor speaker
